lat,long
47.9763,-90.4135
,
47.6648,-117.4375
44.9586,-123.0026
27.0679,-80.1664
34.3679,-85.5676
45.6988,-122.7198
,
40.7066,-92.9253
42.8834,-85.7825
45.6988,-122.7198
32.8729,-111.7449
,
43.0386,-87.9067
,
47.6648,-117.4375
37.3435,-121.8887
47.0918,-123.8526
,
,
,
,
,
38.8336,-104.8206
,
48.4124,-114.1795
43.8682,-69.8017
,
,
46.6679,-114.0739
,
44.3300,-123.6207
42.4176,-83.1050
38.6508,-80.6576
38.5708,-94.8801
,
39.9629,-81.9885
38.7943,-87.3280
39.6795,-82.3080
25.7738,-80.1936
42.5271,-73.5952
29.7869,-95.1092
30.2197,-97.7473
,
36.1233,-80.6371
37.0468,-76.4853
,
30.5006,-97.6302
,
42.8945,-78.8869
42.2256,-83.2685
31.5861,-110.1729
,
42.4577,-71.2168
36.1537,-95.9926
,
36.8785,-94.8680
,
34.9292,-111.6209
34.7333,-118.1492
,
29.4728,-98.5356
,
35.9189,-77.7319
33.8478,-117.9573
37.4570,-86.3956
36.6868,-110.3756
38.2227,-85.3594
39.1803,-86.2280
,
,
37.8327,-87.5673
37.77,-122.41
,
37.5742,-122.3194
,
33.8302,-118.3135
47.2724,-119.5993
,
36.1736,-115.1264
34.1429,-86.1531
,
,
33.6372,-93.8273
,
,
36.1711,-79.5856
,
,
32.1945,-107.7632
39.8221,-84.0099
28.4024,-80.6149
26.7197,-80.0695
,
39.7115,-122.3773
46.8699,-96.9363
30.2400,-93.2270
,
,
46.0653,-89.0572
,
47.6648,-117.4375
33.5240,-111.9036
38.4272,-91.0043
30.3383,-81.7706
33.4432,-111.8553
29.8777,-92.0637
38.7471,-89.0578
42.3283,-89.1475
36.8261,-119.6789
41.2596,-95.9374
,
45.6603,-108.3843
,
42.3283,-89.1475
44.2758,-88.3745
45.1788,-122.7934
64.5608,-147.6728
21.3069,-157.8584
,
,
32.2179,-110.9686
38.8822,-92.2523
33.9906,-84.1531
,
38.4430,-121.2993
35.4749,-111.7000
,
43.6948,-122.9761
34.0486,-87.5434
35.4749,-111.7000
42.26,-71.61
33.3463,-111.8154
43.5503,-96.7002
32.7776,-79.9419
34.6551,-111.4146
29.4728,-98.5356
29.7634,-95.3634
40.6638,-103.2621
40.8778,-73.0042
,
38.3094,-89.7669
,
42.9634,-85.6681
47.5162,-111.2777
,
34.6551,-111.4146
,
,
,
,
,
,
33.7788,-117.3266
37.3472,-108.7338
,
41.85,-87.65
,
42.9771,-77.4315
45.8056,-68.3944
44.4224,-98.4880
40.9157,-73.7829
40.4506,-122.3164
33.9736,-118.2479
27.9826,-81.7709
43.1614,-83.5299
30.6049,-89.1127
39.7393,-104.9844
,
,
,
30.2414,-93.2711
21.3399,-158.0131
36.8956,-121.1837
41.1876,-73.6348
42.8945,-78.8869
40.9500,-83.1444
40.8000,-96.6664
,
42.9097,-73.1406
,
41.8121,-80.3801
47.3075,-122.2659
,
,
,
36.1736,-115.1264
39.7757,-86.1096
41.7761,-71.4343
,
37.7167,-121.0896
40.8783,-74.1425
41.3300,-74.1900
47.6110,-122.3335
39.3306,-75.0228
,
39.1115,-74.8179
,
,
,
,
43.0662,-106.3940
,
,
,
,
,
,
,
46.9858,-121.8362
35.7091,-105.8594
35.7596,-78.7795
,
32.8199,-83.6184
35.0846,-106.6516
33.0769,-83.3032
37.77,-122.41
33.7433,-118.2754
47.3075,-122.2659
,
33.5907,-101.8535
44.8400,-87.3997
43.0386,-87.9067
33.5382,-112.1859
32.1945,-107.7632
26.3152,-97.2429
,
,
41.7071,-120.1429
,
47.4964,-121.9909
42.3299,-88.9954
33.9736,-118.2479
40.1602,-109.5478
,
25.7738,-80.1936
,
45.5074,-122.6898
35.0529,-93.0487
39.4642,-77.3384
42.1897,-87.8059
34.4607,-84.1518
28.4024,-80.6149
45.1982,-123.9494
32.8215,-79.8524
,
43.0579,-77.2205
39.7628,-75.1210
37.9578,-121.2897
48.7477,-122.5222
31.5513,-97.1382
30.2197,-97.7473
41.2234,-111.9731
41.4879,-73.0529
,
39.7757,-86.1096
38.4534,-122.7814
,
,
33.8876,-117.8023
,
,
38.7935,-77.2718
30.0945,-94.0934
37.5701,-97.2288
41.4566,-72.8103
36.8424,-119.8031
,
,
32.7025,-116.5046
33.9736,-118.2479
34.4714,-100.6811
33.4939,-117.1475
34.1974,-118.6016
,
38.2545,-85.7595
37.3435,-121.8887
,
,
37.77,-122.41
,
47.4159,-118.3551
34.4527,-97.8522
45.2816,-93.4298
,
38.6226,-92.0887
41.6725,-86.2533
34.6551,-111.4146
,
38.4272,-91.0043
,
33.8199,-96.6960
33.8198,-87.0831
43.6139,-116.2025
44.7193,-84.0002
,
35.9340,-86.6719
,
47.7922,-122.3072
36.07,-79.79
45.5074,-122.6898
,
,
,
,
37.6529,-98.7676
40.7231,-73.8422
34.0033,-118.0261
47.5449,-122.5815
43.9463,-71.4653
28.3257,-80.6225
,
,
36.9768,-119.8701
,
,
,
,
,
35.0846,-106.6516
31.9258,-98.7837
,
35.5875,-88.8591
