,State,Shape,City,Sight_Date,Sigth_Time,Sight_Day,Sight_Month,Sight_WeekDate
0,MD,Disk,Solomons Island,22/09/1997,20:00,22,09,Segunda-Feira
1,CA,Rectangle,Garden Grove,19/09/1997,,19,09,Sexta-Feira
2,FL,Unknown,Panama City,18/09/1997,20:15,18,09,Quinta-Feira
3,TX,Disk,Houston,15/09/1997,00:00,15,09,Segunda-Feira
4,NM,Light,Santa Fe,15/09/1997,20:00,15,09,Segunda-Feira
5,WA,Sphere,Kent,15/09/1997,20:00,15,09,Segunda-Feira
6,IN,Circle,Angola,15/09/1997,20:00,15,09,Segunda-Feira
7,LA,Cigar,Gulf of Mexico,07/09/1997,12:00,07,09,Domingo
8,ME,Light,Albany,01/09/1997,23:00,01,09,Segunda-Feira
9,CA,Light,Carlsbad,01/09/1997,22:30,01,09,Segunda-Feira
10,UT,Circle,Ophir Mountain,30/10/1997,00:00,30,10,Quinta-Feira
11,CA,Disk,Milford,22/10/1997,15:00,22,10,Quarta-Feira
12,WA,Light,Gig Harbor,20/10/1997,08:45,20,10,Segunda-Feira
13,MA,Light,Attleboro,19/10/1997,02:00,19,10,Domingo
14,CO,Triangle,Ignacio,17/10/1997,20:00,17,10,Sexta-Feira
15,WA,Triangle,Rosburg,15/10/1997,20:00,15,10,Quarta-Feira
16,NJ,Triangle,Shark River Hills,15/10/1997,19:00,15,10,Quarta-Feira
17,CA,Rectangle,Daggett,15/10/1997,17:30,15,10,Quarta-Feira
18,CT,Rectangle,New Britain (?),15/10/1997,17:00,15,10,Quarta-Feira
19,NY,Cylinder,New York City (Staten Island),15/10/1997,15:00,15,10,Quarta-Feira
20,GA,Triangle,Bonaire,10/10/1997,20:00,10,10,Sexta-Feira
21,AZ,Sphere,Mesa,10/10/1997,17:00,10,10,Sexta-Feira
22,TX,Light,Waco,03/10/1997,21:30,03,10,Sexta-Feira
23,GA,Circle,Ringgold,02/10/1997,02:00,02,10,Quinta-Feira
24,SC,Triangle,Summerville,01/10/1997,22:00,01,10,Quarta-Feira
25,WI,Light,Green Bay,01/10/1997,19:00,01,10,Quarta-Feira
26,SC,Triangle,Pelzer,01/10/1997,19:00,01,10,Quarta-Feira
27,WI,Fireball,Lake Geneva,28/11/1997,19:30,28,11,Sexta-Feira
28,NE,Circle,Plattsmouth,21/11/1997,12:00,21,11,Sexta-Feira
29,NJ,Circle,Chester,15/11/1997,23:00,15,11,Sábado
30,NY,Triangle,Varysburg,15/11/1997,21:30,15,11,Sábado
31,CA,Oval,El Centro,15/11/1997,20:00,15,11,Sábado
32,WA,Disk,Stevens Pass,14/11/1997,22:00,14,11,Sexta-Feira
33,WA,Unknown,McCleary,14/11/1997,21:00,14,11,Sexta-Feira
34,WA,Diamond,Seattle,14/11/1997,21:00,14,11,Sexta-Feira
35,WA,Formation,Gig Harbor,14/11/1997,21:00,14,11,Sexta-Feira
36,WA,Unknown,Edmonds,14/11/1997,20:00,14,11,Sexta-Feira
37,WA,Oval,Lynnwood,14/11/1997,20:00,14,11,Sexta-Feira
38,MS,Cigar,Perkinston,09/11/1997,21:00,09,11,Domingo
39,OH,Other,Warren,31/12/1997,20:30,31,12,Quarta-Feira
40,CA,Disk,Los Angeles (Eagle Rock),25/12/1997,09:00,25,12,Quinta-Feira
41,FL,Fireball,Ocala,17/12/1997,00:15,17,12,Quarta-Feira
42,IL,Fireball,Iola,15/12/1997,22:00,15,12,Segunda-Feira
43,WV,Triangle,Oak Hill,15/12/1997,18:00,15,12,Segunda-Feira
44,NY,Other,Fort Ann,10/12/1997,20:00,10,12,Quarta-Feira
45,NJ,Fireball,Paramus (souh of),01/12/1997,23:30,01,12,Segunda-Feira
46,IN,Cigar,Greentown,01/12/1997,22:00,01,12,Segunda-Feira
47,IL,Unknown,Schuyler County,27/01/1998,19:30,27,01,Terça-Feira
48,TX,Unknown,Krum,17/01/1998,16:30,17,01,Sábado
49,CT,Cylinder,,15/01/1998,23:00,15,01,Quinta-Feira
50,NJ,Fireball,Middletown,11/01/1998,06:55,11,01,Domingo
51,WI,Changing,Milwaukee/West Allis/West Milwaukee,01/01/1998,23:00,01,01,Quinta-Feira
52,NY,Light,Coxsacke,01/01/1998,20:30,01,01,Quinta-Feira
53,NM,Diamond,Cannon AFB,01/01/1998,13:00,01,01,Quinta-Feira
54,LA,Circle,Baton Rouge,01/01/1998,13:00,01,01,Quinta-Feira
55,FL,Triangle,Tallahassee,26/02/1998,22:30,26,02,Quinta-Feira
56,NM,Other,Four Corners,01/02/1998,00:30,01,02,Domingo
57,LA,Triangle,Alexandria,25/03/1998,23:30,25,03,Quarta-Feira
58,PA,Fireball,Trout Run,18/03/1998,02:00,18,03,Quarta-Feira
59,NM,Triangle,Roswell,15/03/1998,00:00,15,03,Domingo
60,IL,Fireball,Farina,15/03/1998,22:30,15,03,Domingo
61,CA,Sphere,Los Osos,15/03/1998,21:30,15,03,Domingo
62,TX,Triangle,Gladewater,15/03/1998,19:00,15,03,Domingo
63,IN,Triangle,Frankfort,14/03/1998,21:00,14,03,Sábado
64,CA,Circle,San Diego,13/03/1998,21:00,13,03,Sexta-Feira
65,FL,Triangle,Malabar,07/03/1998,08:00,07,03,Sábado
66,CA,Circle,Goleta,05/03/1998,10:00,05,03,Quinta-Feira
67,TX,Sphere,Houston,03/03/1998,20:00,03,03,Terça-Feira
68,CA,Disk,Beal AFB,01/03/1998,02:30,01,03,Domingo
69,OK,Circle,Tulsa,28/04/1998,22:00,28,04,Terça-Feira
70,CO,Oval,Frisco,25/04/1998,20:00,25,04,Sábado
71,MI,Other,Muskegon,20/04/1998,21:00,20,04,Segunda-Feira
72,WV,Disk,Fort Gay,16/04/1998,15:00,16,04,Quinta-Feira
73,OH,Disk,Hartsgrove,15/04/1998,20:30,15,04,Quarta-Feira
74,CA,Disk,Richmond,15/04/1998,20:00,15,04,Quarta-Feira
75,TX,Cylinder,San Antonio,15/04/1998,13:00,15,04,Quarta-Feira
76,WI,Sphere,Baraboo,15/04/1998,08:20,15,04,Quarta-Feira
77,OH,Triangle,Catawba,15/04/1998,07:45,15,04,Quarta-Feira
78,NC,Unknown,Level Cross,12/04/1998,17:00,12,04,Domingo
79,MN,Cylinder,Golden Valley,09/04/1998,23:00,09,04,Quinta-Feira
80,CA,Other,Soquel,05/04/1998,11:50,05,04,Domingo
81,CA,Light,Northern California,04/04/1998,23:00,04,04,Sábado
82,OH,Triangle,Henry County,01/04/1998,21:00,01,04,Quarta-Feira
83,RI,Circle,Providence,01/04/1998,13:00,01,04,Quarta-Feira
84,OR,Oval,Salem,30/05/1998,21:00,30,05,Sábado
85,MO,Unknown,Old Appleton,20/05/1998,23:00,20,05,Quarta-Feira
86,FL,Circle,Fort Myers,20/05/1998,01:00,20,05,Quarta-Feira
87,MS,Light,Sebastopol,15/05/1998,21:45,15,05,Sexta-Feira
88,KY,Circle,Ft. Campbell,15/05/1998,07:30,15,05,Sexta-Feira
89,MS,Light,Nettleton,15/05/1998,07:30,15,05,Sexta-Feira
90,TX,Light,Pampa,12/05/1998,03:00,12,05,Terça-Feira
91,FL,Light,Deerfield Beach,08/05/1998,21:40,08,05,Sexta-Feira
92,CO,Other,Colorado Springs,06/05/1998,20:00,06,05,Quarta-Feira
93,NV,Triangle,Las Vegas,03/05/1998,21:00,03,05,Domingo
94,MI,Triangle,Gwinn,01/05/1998,22:00,01,05,Sexta-Feira
95,CA,Unknown,Los Angeles,30/06/1998,23:00,30,06,Terça-Feira
96,MI,Oval,Brooklyn,30/06/1998,21:30,30,06,Terça-Feira
97,IL,Circle,Alpha,30/06/1998,13:00,30,06,Terça-Feira
98,IL,Cylinder,Urbana,30/06/1998,13:00,30,06,Terça-Feira
99,MI,Changing,Commerce Township,30/06/1998,10:00,30,06,Terça-Feira
100,FL,Disk,Port St. Lucie,30/06/1998,03:00,30,06,Terça-Feira
101,IA,Diamond,Indianola,30/06/1998,02:00,30,06,Terça-Feira
102,AZ,Flash,Quartzite,30/06/1998,01:30,30,06,Terça-Feira
103,IN,Unknown,South Bend,30/06/1998,01:00,30,06,Terça-Feira
104,MS,Cylinder,Jackson,30/06/1998,,30,06,Terça-Feira
105,FL,Circle,Jacksonville,20/06/1998,03:30,20,06,Sábado
106,IN,Light,Vincennes,16/06/1998,20:46,16,06,Terça-Feira
107,IN,Light,Vincennes,16/06/1998,08:46,16,06,Terça-Feira
108,OK,Unknown,Perry,15/06/1998,22:00,15,06,Segunda-Feira
109,OK,Unknown,Perry,15/06/1998,22:00,15,06,Segunda-Feira
110,WA,Light,Bellingham,15/06/1998,21:00,15,06,Segunda-Feira
111,PA,Disk,Bensalem,15/06/1998,21:00,15,06,Segunda-Feira
112,OH,Other,Beavercreek,15/06/1998,08:23,15,06,Segunda-Feira
113,CA,Light,Montebello,12/06/1998,22:45,12,06,Sexta-Feira
114,IA,Triangle,Mechanicsville,10/06/1998,20:00,10,06,Quarta-Feira
115,NY,Light,Elba,06/06/1998,22:00,06,06,Sábado
116,FL,Light,Tampa,06/06/1998,21:30,06,06,Sábado
117,CA,Fireball,Salinas,06/06/1998,19:00,06,06,Sábado
118,TX,Cylinder,Waco/Amarillo (enroute to),03/06/1998,17:30,03,06,Quarta-Feira
119,CA,Disk,Rancho Tehama,01/06/1998,23:00,01,06,Segunda-Feira
120,TX,Circle,Aransas Pass,01/06/1998,23:00,01,06,Segunda-Feira
121,OR,Triangle,Portland,01/06/1998,22:00,01,06,Segunda-Feira
122,CA,Triangle,Valencia,01/06/1998,22:00,01,06,Segunda-Feira
123,MD,Unknown,Cockeysville,01/06/1998,22:00,01,06,Segunda-Feira
124,MT,Other,Liberty County (on highway),01/06/1998,22:00,01,06,Segunda-Feira
125,UT,Triangle,Wendover,01/06/1998,21:30,01,06,Segunda-Feira
126,LA,Sphere,Sulphur,01/06/1998,21:00,01,06,Segunda-Feira
127,NY,Light,New Rochelle,01/06/1998,20:00,01,06,Segunda-Feira
128,AL,Changing,Hunstville,01/06/1998,18:00,01,06,Segunda-Feira
129,WA,Other,Colville,01/06/1998,16:30,01,06,Segunda-Feira
130,MO,Triangle,West Plains,01/06/1998,14:00,01,06,Segunda-Feira
131,CA,Disk,Los Angeles,01/06/1998,12:30,01,06,Segunda-Feira
132,NC,Circle,Winston-Salem (north of),01/06/1998,10:30,01,06,Segunda-Feira
133,WA,Light,Ellensburg,01/06/1998,10:00,01,06,Segunda-Feira
134,OH,Disk,Danville,01/06/1998,01:00,01,06,Segunda-Feira
135,VA,Disk,Waynesboro,30/07/1998,22:00,30,07,Quinta-Feira
136,MO,Cigar,Moscow Mills,25/07/1998,20:00,25,07,Sábado
137,TX,Triangle,Sulphur springs,20/07/1998,16:00,20,07,Segunda-Feira
138,TX,Triangle,Sulphur Springs,20/07/1998,16:00,20,07,Segunda-Feira
139,MI,Cylinder,Newberry,19/07/1998,15:00,19,07,Domingo
140,IL,Light,Scales Mound,15/07/1998,21:30,15,07,Quarta-Feira
141,VA,Disk,Sterling,15/07/1998,19:00,15,07,Quarta-Feira
142,NY,Other,New York City (Brooklyn),15/07/1998,14:00,15,07,Quarta-Feira
143,OH,Other,Columbus,15/07/1998,08:00,15,07,Quarta-Feira
144,NM,Fireball,Albuquerque,15/07/1998,01:30,15,07,Quarta-Feira
145,MN,Disk,Minneapolis,15/07/1998,01:00,15,07,Quarta-Feira
146,IA,Triangle,Shanadoah,14/07/1998,23:00,14,07,Terça-Feira
147,SD,Unknown,McCook Lake,13/07/1998,00:00,13,07,Segunda-Feira
148,MO,Light,Arnold,10/07/1998,17:30,10,07,Sexta-Feira
149,NY,Cigar,New Rochelle,10/07/1998,15:00,10,07,Sexta-Feira
150,MI,Other,West Bloomfield,08/07/1998,23:00,08,07,Quarta-Feira
151,GA,Oval,Hull,07/07/1998,22:00,07,07,Terça-Feira
152,MO,Other,Camdenton,07/07/1998,01:00,07,07,Terça-Feira
153,FL,Formation,Manasota Key,05/07/1998,02:00,05,07,Domingo
154,OH,Other,Akron,04/07/1998,22:00,04,07,Sábado
155,CA,Cigar,Lockwood,01/07/1998,22:00,01,07,Quarta-Feira
156,MI,Sphere,Rapid City,01/07/1998,02:00,01,07,Quarta-Feira
157,CA,Circle,Roseville,01/07/1998,,01,07,Quarta-Feira
158,NY,Other,West Islip,28/08/1998,19:00,28,08,Sexta-Feira
159,AL,Light,Mobile,28/08/1998,05:45,28,08,Sexta-Feira
160,CA,Unknown,Pebble Beach,25/08/1998,02:00,25,08,Terça-Feira
161,CA,Disk,Santa Rosa,23/08/1998,11:45,23,08,Domingo
162,CT,Unknown,East Hartford,23/08/1998,05:00,23,08,Domingo
163,KS,Unknown,Shawnee Mission,20/08/1998,22:00,20,08,Quinta-Feira
164,CA,Triangle,Crestline (Silverwood Lake),15/08/1998,23:30,15,08,Sábado
165,MD,Triangle,Annapolis,15/08/1998,23:00,15,08,Sábado
166,CA,Circle,Tracy (near; on I-5; close to Gilroy),15/08/1998,17:00,15,08,Sábado
167,MO,Fireball,Perryville,15/08/1998,11:00,15,08,Sábado
168,CO,Flash,Highlands Ranch,15/08/1998,01:00,15,08,Sábado
169,ND,Fireball,Burlington,14/08/1998,16:00,14,08,Sexta-Feira
170,NH,Circle,Hampton,13/08/1998,03:00,13,08,Quinta-Feira
171,CA,Sphere,Lake Alpine,13/08/1998,02:00,13,08,Quinta-Feira
172,PA,Triangle,Harrisburg,10/08/1998,22:00,10,08,Segunda-Feira
173,CA,Triangle,Modesto,10/08/1998,22:00,10,08,Segunda-Feira
174,SC,Unknown,North Charleston,08/08/1998,00:00,08,08,Sábado
175,AZ,Triangle,Casa Grande,07/08/1998,00:00,07,08,Sexta-Feira
176,AZ,Triangle,Casa Grande,07/08/1998,00:00,07,08,Sexta-Feira
177,NY,Circle,Mumford,05/08/1998,21:00,05,08,Quarta-Feira
178,SD,Unknown,Midland,03/08/1998,00:30,03,08,Segunda-Feira
179,SD,Unknown,Pierre,01/08/1998,23:00,01,08,Sábado
180,ME,Unknown,Monhegan Island,01/08/1998,23:00,01,08,Sábado
181,IL,Light,Chicago,01/08/1998,03:00,01,08,Sábado
182,NY,Sphere,Binghamton,01/08/1998,00:00,01,08,Sábado
183,MI,Other,Dearborn,21/09/1998,21:00,21,09,Segunda-Feira
184,WA,Sphere,Tukwila,20/09/1998,14:00,20,09,Domingo
185,NC,Triangle,Fort Bragg,20/09/1998,01:15,20,09,Domingo
186,NM,Light,Belen,15/09/1998,23:00,15,09,Terça-Feira
187,TX,Other,Lubbock,15/09/1998,20:00,15,09,Terça-Feira
188,GA,Disk,Hawkinsville,15/09/1998,19:00,15,09,Terça-Feira
189,OK,Cylinder,Edmond,15/09/1998,12:00,15,09,Terça-Feira
190,KY,Cigar,Manchester,12/09/1998,02:00,12,09,Sábado
191,PA,Triangle,Edinboro (near),10/09/1998,22:30,10,09,Quinta-Feira
192,TX,Fireball,San Angelo,10/09/1998,20:00,10,09,Quinta-Feira
193,IL,Oval,Schaumburg,02/09/1998,21:00,02,09,Quarta-Feira
194,FL,Triangle,Ft. Myers Beach (off coast of),01/09/1998,22:00,01,09,Terça-Feira
195,PA,Cigar,Snow Shoe (in general area of),01/09/1998,22:00,01,09,Terça-Feira
196,TN,Other,Nashville,29/10/1998,19:00,29,10,Quinta-Feira
197,MI,Circle,Detroit,28/10/1998,10:30,28,10,Quarta-Feira
198,ID,Sphere,Rupert,22/10/1998,03:30,22,10,Quinta-Feira
199,OH,Triangle,Antwerp,19/10/1998,22:30,19,10,Segunda-Feira
200,SD,Other,Bridgewater,17/10/1998,11:30,17,10,Sábado
201,CA,Triangle,Sacramento,16/10/1998,11:40,16,10,Sexta-Feira
202,AL,Circle,Adamsville,15/10/1998,22:30,15,10,Quinta-Feira
203,AL,Triangle,Enterprise,15/10/1998,21:00,15,10,Quinta-Feira
204,NY,Triangle,NYC/Westchester area,10/10/1998,20:30,10,10,Sábado
205,FL,Changing,Key West,03/10/1998,01:00,03,10,Sábado
206,IN,Triangle,Franklin,01/10/1998,22:00,01,10,Quinta-Feira
207,IA,Triangle,Clarinda,01/10/1998,21:00,01,10,Quinta-Feira
208,CA,Sphere,San Francisco,01/10/1998,10:00,01,10,Quinta-Feira
209,SC,Sphere,Chester,01/10/1998,07:00,01,10,Quinta-Feira
210,WV,Sphere,Point Pleasant,24/11/1998,16:00,24,11,Terça-Feira
211,MN,Oval,Coon Rapids,23/11/1998,18:05,23,11,Segunda-Feira
212,VA,Disk,,22/11/1998,14:00,22,11,Domingo
213,PA,Light,Dillsburg,20/11/1998,20:00,20,11,Sexta-Feira
214,NM,Light,Las Vegas,19/11/1998,02:30,19,11,Quinta-Feira
215,NJ,Disk,Dunns Mills,18/11/1998,21:15,18,11,Quarta-Feira
216,AK,Light,Kodiak,18/11/1998,18:00,18,11,Quarta-Feira
217,WI,Other,Darien,16/11/1998,18:00,16,11,Segunda-Feira
218,WI,Other,Richland Center,15/11/1998,,15,11,Domingo
219,FL,Light,Cape Canaveral,12/11/1998,22:00,12,11,Quinta-Feira
220,NM,Oval,Albuquerque,04/11/1998,15:30,04,11,Quarta-Feira
221,VA,Triangle,Skippers,01/11/1998,20:30,01,11,Domingo
222,NJ,Sphere,Cape May Court House,30/12/1998,02:00,30,12,Quarta-Feira
223,SC,Circle,Vance,25/12/1998,23:30,25,12,Sexta-Feira
224,CA,Circle,Carmel,25/12/1998,22:00,25,12,Sexta-Feira
225,OH,Sphere,Mansfield,21/12/1998,06:30,21,12,Segunda-Feira
226,FL,Triangle,West Palm Beach,20/12/1998,20:30,20,12,Domingo
227,KS,Unknown,Kansas (on interstate),20/12/1998,02:30,20,12,Domingo
228,KS,Light,Kansas (location unspecified),19/12/1998,03:30,19,12,Sábado
229,AK,Formation,Fairbanks,15/12/1998,20:00,15,12,Terça-Feira
230,WI,Rectangle,Waterford,15/12/1998,00:00,15,12,Terça-Feira
231,TN,Sphere,Soddy Daisy,07/12/1998,10:00,07,12,Segunda-Feira
232,OR,Oval,Portland,24/01/1999,20:00,24,01,Domingo
233,TX,Circle,Dallas,12/01/1999,00:00,12,01,Terça-Feira
234,OR,Cylinder,Lebanon,11/01/1999,09:30,11,01,Segunda-Feira
235,CO,Circle,Estes Park,05/01/1999,14:00,05,01,Terça-Feira
236,WI,Disk,Madison,02/01/1999,00:00,02,01,Sábado
237,LA,Light,New Orleans,20/02/1999,20:00,20,02,Sábado
238,CA,Circle,Palm Springs,20/02/1999,19:00,20,02,Sábado
239,GA,Oval,Cleveland,20/02/1999,07:00,20,02,Sábado
240,CA,Other,Sacramento,15/02/1999,18:00,15,02,Segunda-Feira
241,TX,Unknown,Post (3 mi. west of),31/03/1999,21:00,31,03,Quarta-Feira
242,CT,Disk,Southington,30/03/1999,21:00,30,03,Terça-Feira
243,OR,Sphere,Pacific City,24/03/1999,20:30,24,03,Quarta-Feira
244,MN,Oval,Hikilki,22/03/1999,03:30,22,03,Segunda-Feira
245,AR,Unknown,Jasper,21/03/1999,23:00,21,03,Domingo
246,VA,Sphere,Galax,13/03/1999,05:55,13,03,Sábado
247,PA,Cigar,Johnstown,10/03/1999,02:00,10,03,Quarta-Feira
248,AL,Rectangle,Fyffe,15/04/1999,19:00,15,04,Quinta-Feira
249,NV,Other,Boulder City,24/05/1999,19:00,24,05,Segunda-Feira
250,OH,Sphere,Marion,21/05/1999,16:00,21,05,Sexta-Feira
251,FL,Triangle,Panama City Beach,20/05/1999,23:00,20,05,Quinta-Feira
252,IL,Circle,Montrose,20/05/1999,20:00,20,05,Quinta-Feira
253,IN,Sphere,Jonesboro,20/05/1999,18:00,20,05,Quinta-Feira
254,ND,Rectangle,Cartwright,20/05/1999,14:00,20,05,Quinta-Feira
255,CA,Circle,Bakersfield,19/05/1999,02:00,19,05,Quarta-Feira
256,OH,Cigar,Ashtabula,15/05/1999,12:00,15,05,Sábado
257,WA,Disk,Airway Heights (rural; N of Fairchild AFB),15/05/1999,05:45,15,05,Sábado
258,MI,Unknown,Sturgis,15/05/1999,01:15,15,05,Sábado
259,IL,Triangle,Dixon,14/05/1999,00:00,14,05,Sexta-Feira
260,PA,Triangle,Lewisburg,01/05/1999,17:00,01,05,Sábado
261,SC,Disk,Lexington,30/06/1999,22:30,30,06,Quarta-Feira
262,KS,Other,Shawnee,30/06/1999,16:30,30,06,Quarta-Feira
263,KY,Light,Corbin/Williamsburg,30/06/1999,01:00,30,06,Quarta-Feira
264,CA,Circle,Shingletown,30/06/1999,00:00,30,06,Quarta-Feira
265,ID,Unknown,Idaho Falls,25/06/1999,22:00,25,06,Sexta-Feira
266,NV,Sphere,Hiko (outside of ),21/06/1999,18:30,21,06,Segunda-Feira
267,FL,Cylinder,Pinecastle,20/06/1999,10:00,20,06,Domingo
268,MI,Disk,Iron Moutain,17/06/1999,12:00,17,06,Quinta-Feira
269,AL,Circle,Jasper,15/06/1999,23:30,15,06,Terça-Feira
270,WY,Other,On highway; location unknown,15/06/1999,22:00,15,06,Terça-Feira
271,SD,Flash,Northern Oglala,15/06/1999,19:00,15,06,Terça-Feira
272,MO,Rectangle,St. Charles,15/06/1999,12:00,15,06,Terça-Feira
273,AZ,Disk,Phoenix,12/06/1999,02:30,12,06,Sábado
274,LA,Triangle,Barksdale AFB,12/06/1999,01:00,12,06,Sábado
275,MO,Light,Kansas City (north),11/06/1999,23:00,11,06,Sexta-Feira
276,WY,Triangle,Riverton,10/06/1999,23:00,10,06,Quinta-Feira
277,WA,Sphere,Davenport,10/06/1999,03:00,10,06,Quinta-Feira
278,CA,Unknown,Sacramento,06/06/1999,19:00,06,06,Domingo
279,DE,Unknown,Interstate (I-295 ??),05/06/1999,02:50,05,06,Sábado
280,TN,Light,Bristol,01/06/1999,23:00,01,06,Terça-Feira
281,TN,Triangle,Franklin,01/06/1999,23:00,01,06,Terça-Feira
282,TX,Other,Corpus Christi,01/06/1999,22:45,01,06,Terça-Feira
283,DE,Unknown,Townsend,01/06/1999,22:00,01,06,Terça-Feira
284,CO,Other,Lost Park area,01/06/1999,22:00,01,06,Terça-Feira
285,CA,Unknown,Ventura,01/06/1999,21:00,01,06,Terça-Feira
286,OH,Rectangle,Sandusky,01/06/1999,21:00,01,06,Terça-Feira
287,WA,Light,Spokane,01/06/1999,20:15,01,06,Terça-Feira
288,DE,Fireball,Milford,01/06/1999,19:00,01,06,Terça-Feira
289,CA,Changing,Gonzales,01/06/1999,19:00,01,06,Terça-Feira
290,OH,Light,Batavia,01/06/1999,19:00,01,06,Terça-Feira
291,CA,Cylinder,Los Osos,01/06/1999,15:00,01,06,Terça-Feira
292,IL,Other,Georgetown,01/06/1999,14:00,01,06,Terça-Feira
293,CT,Other,Bridgeport,01/06/1999,13:00,01,06,Terça-Feira
294,AZ,Other,Tucson,01/06/1999,12:00,01,06,Terça-Feira
295,WA,Disk,Renton,01/06/1999,12:00,01,06,Terça-Feira
296,FL,Disk,Venice,01/06/1999,02:00,01,06,Terça-Feira
297,OH,Light,Lorain,01/06/1999,02:00,01,06,Terça-Feira
298,CA,Light,Rowland Heights,01/06/1999,02:00,01,06,Terça-Feira
299,CT,Unknown,Guilford,01/06/1999,01:00,01,06,Terça-Feira
300,UT,Circle,South Jordan,01/06/1999,01:00,01,06,Terça-Feira
301,MN,Disk,Breckenridge,01/06/1999,01:00,01,06,Terça-Feira
302,WA,Circle,Gig Harbor,01/06/1999,01:00,01,06,Terça-Feira
303,MI,Light,Fremont,01/06/1999,00:00,01,06,Terça-Feira
304,MA,Unknown,Andover,01/06/1999,,01,06,Terça-Feira
305,OK,Triangle,Ponca City,28/07/1999,22:00,28,07,Quarta-Feira
306,CA,Triangle,Coalinga,23/07/1999,23:45,23,07,Sexta-Feira
307,CA,Other,Bay Point/ Pittsburg,22/07/1999,20:00,22,07,Quinta-Feira
308,LA,Other,Jackson,21/07/1999,18:00,21,07,Quarta-Feira
309,MO,Other,Cherokee Pass,15/07/1999,20:15,15,07,Quinta-Feira
310,ME,Disk,Oxford,15/07/1999,19:00,15,07,Quinta-Feira
311,OR,Light,Mosier,15/07/1999,01:00,15,07,Quinta-Feira
312,AR,Other,Blyville,14/07/1999,17:00,14,07,Quarta-Feira
313,MI,Light,Grand Rapids,14/07/1999,14:00,14,07,Quarta-Feira
314,MN,Fireball,Bald Eagle Lake,07/07/1999,23:00,07,07,Quarta-Feira
315,WA,Light,Seattle,07/07/1999,16:30,07,07,Quarta-Feira
316,CA,Unknown,San Jose,07/07/1999,03:00,07,07,Quarta-Feira
317,NE,Triangle,Omaha (~ 60 mi. NW of),06/07/1999,22:00,06,07,Terça-Feira
318,OK,Sphere,Pauls Valley,04/07/1999,22:00,04,07,Domingo
319,MI,Sphere,Luna Pier,02/07/1999,14:00,02,07,Sexta-Feira
320,NY,Unknown,Dannemora,01/07/1999,19:00,01,07,Quinta-Feira
321,IL,Disk,Chicago,01/07/1999,09:00,01,07,Quinta-Feira
322,CA,Circle,San Diego,28/08/1999,02:00,28,08,Sábado
323,CA,Light,Grapevine,26/08/1999,00:00,26,08,Quinta-Feira
324,CA,Light,Ivanhoe,25/08/1999,,25,08,Quarta-Feira
325,IL,Other,Chicago,22/08/1999,11:55,22,08,Domingo
326,MI,Circle,Port Huron,17/08/1999,14:00,17,08,Terça-Feira
327,MN,Sphere,Grand Marais,16/08/1999,23:00,16,08,Segunda-Feira
328,WA,Light,Spokane,15/08/1999,23:00,15,08,Domingo
329,OR,Other,Salem,15/08/1999,23:00,15,08,Domingo
330,FL,Circle,Hobe Sound,15/08/1999,21:00,15,08,Domingo
331,AL,Unknown,Gaylesville,15/08/1999,21:00,15,08,Domingo
332,WA,Unknown,Vancouver,15/08/1999,18:50,15,08,Domingo
333,IA,Circle,Centerville,15/08/1999,02:30,15,08,Domingo
334,WA,Oval,Vancouver,13/08/1999,23:00,13,08,Sexta-Feira
335,AZ,Triangle,Casa Grande,13/08/1999,23:00,13,08,Sexta-Feira
336,NY,Triangle,New York City (Manhattan),07/08/1999,17:00,07,08,Sábado
337,WA,Triangle,Spokane,05/08/1999,01:30,05,08,Quinta-Feira
338,CA,Disk,San Jose,01/08/1999,13:00,01,08,Domingo
339,WA,Triangle,Aberdeen,30/09/1999,21:00,30,09,Quinta-Feira
340,IL,Light,St. David,25/09/1999,23:30,25,09,Sábado
341,KS,Changing,LaCygne,22/09/1999,01:00,22,09,Quarta-Feira
342,OR,Circle,"Boring, Sandy area",17/09/1999,20:11,17,09,Sexta-Feira
343,CO,Sphere,Colorado Springs,17/09/1999,09:00,17,09,Sexta-Feira
344,IL,Other,Hinsdale (unincorporated area),17/09/1999,01:00,17,09,Sexta-Feira
345,MT,Disk,Columbia Falls,15/09/1999,23:00,15,09,Quarta-Feira
346,ME,Triangle,Bath,15/09/1999,09:00,15,09,Quarta-Feira
347,OR,Unknown,Redland,15/09/1999,01:00,15,09,Quarta-Feira
348,MT,Light,Florence,10/09/1999,02:00,10,09,Sexta-Feira
349,OR,Light,Alsea,08/09/1999,20:00,08,09,Quarta-Feira
350,MI,Triangle,Highland Park,06/09/1999,23:45,06,09,Segunda-Feira
351,WV,Disk,Sutton,05/09/1999,06:30,05,09,Domingo
352,KS,Cigar,Paola,01/09/1999,21:00,01,09,Quarta-Feira
353,MN,Triangle,Coon Rapids,01/09/1999,21:00,01,09,Quarta-Feira
354,OH,Circle,Zanesville,01/09/1999,19:00,01,09,Quarta-Feira
355,IN,Light,Bicknell,01/09/1999,19:00,01,09,Quarta-Feira
356,OH,Triangle,Junction City,01/09/1999,00:00,01,09,Quarta-Feira
357,NY,Triangle,Nassau,31/10/1999,18:45,31,10,Domingo
358,TX,Oval,Austin,27/10/1999,19:30,27,10,Quarta-Feira
359,MD,Disk,Chesapeak Bay,26/10/1999,20:00,26,10,Terça-Feira
